WL;L (W m-2 ste-1 nm-1);fwhm
325;0.079551;3.5
326;0.084798;
327;0.087601;
328;0.087236;
329;0.088288;
330;0.090762;
331;0.092262;
332;0.094635;
333;0.099802;
334;0.100886;
335;0.100184;
336;0.100076;
337;0.100677;
338;0.10203;
339;0.102355;
340;0.10257;
341;0.102576;
342;0.103998;
343;0.10616;
344;0.107584;
345;0.107988;
346;0.107255;
347;0.109017;
348;0.110951;
349;0.111878;
350;0.113832;
351;0.116354;
352;0.117168;
353;0.117716;
354;0.117874;
355;0.117883;
356;0.117978;
357;0.118249;
358;0.119155;
359;0.120465;
360;0.122583;
361;0.124685;
362;0.126802;
363;0.130013;
364;0.133462;
365;0.136779;
366;0.139345;
367;0.141427;
368;0.142539;
369;0.143821;
370;0.145377;
371;0.145476;
372;0.145432;
373;0.146415;
374;0.147203;
375;0.147832;
376;0.14766;
377;0.147562;
378;0.147605;
379;0.146971;
380;0.146166;
381;0.14533;
382;0.144649;
383;0.14408;
384;0.144263;
385;0.144489;
386;0.144747;
387;0.146577;
388;0.148754;
389;0.150145;
390;0.152222;
391;0.154805;
392;0.156648;
393;0.159601;
394;0.164643;
395;0.170875;
396;0.177913;
397;0.187795;
398;0.198047;
399;0.208513;
400;0.218817;
401;0.228494;
402;0.237153;
403;0.245028;
404;0.252038;
405;0.255326;
406;0.258412;
407;0.261339;
408;0.263459;
409;0.265656;
410;0.268046;
411;0.270746;
412;0.273483;
413;0.275264;
414;0.277167;
415;0.279177;
416;0.280434;
417;0.281375;
418;0.281649;
419;0.281738;
420;0.281829;
421;0.281913;
422;0.281349;
423;0.280113;
424;0.27801;
425;0.275711;
426;0.272962;
427;0.270625;
428;0.268715;
429;0.268129;
430;0.268371;
431;0.269474;
432;0.272471;
433;0.276243;
434;0.281402;
435;0.286873;
436;0.2925;
437;0.298019;
438;0.30321;
439;0.307973;
440;0.312515;
441;0.316856;
442;0.320821;
443;0.325401;
444;0.330389;
445;0.335805;
446;0.340508;
447;0.344243;
448;0.348119;
449;0.351824;
450;0.355071;
451;0.358007;
452;0.360773;
453;0.361981;
454;0.362959;
455;0.363555;
456;0.364721;
457;0.366023;
458;0.367646;
459;0.368691;
460;0.369468;
461;0.370708;
462;0.371527;
463;0.371681;
464;0.371796;
465;0.371649;
466;0.370489;
467;0.369867;
468;0.369548;
469;0.369764;
470;0.370281;
471;0.371151;
472;0.372348;
473;0.373781;
474;0.376068;
475;0.378101;
476;0.379993;
477;0.381526;
478;0.382652;
479;0.383226;
480;0.38327;
481;0.382757;
482;0.380687;
483;0.377891;
484;0.374674;
485;0.370409;
486;0.366793;
487;0.364118;
488;0.364236;
489;0.365644;
490;0.369329;
491;0.372139;
492;0.374332;
493;0.37584;
494;0.377333;
495;0.378749;
496;0.378985;
497;0.378632;
498;0.376767;
499;0.374794;
500;0.372762;
501;0.371664;
502;0.37098;
503;0.370934;
504;0.371424;
505;0.372212;
506;0.373534;
507;0.374727;
508;0.375815;
509;0.375897;
510;0.375495;
511;0.374255;
512;0.371791;
513;0.368888;
514;0.365492;
515;0.361952;
516;0.358303;
517;0.356106;
518;0.355038;
519;0.356022;
520;0.358799;
521;0.362283;
522;0.366258;
523;0.36919;
524;0.371145;
525;0.371825;
526;0.372383;
527;0.372907;
528;0.374169;
529;0.375802;
530;0.378003;
531;0.379574;
532;0.380489;
533;0.380276;
534;0.379891;
535;0.379341;
536;0.378926;
537;0.378505;
538;0.377338;
539;0.375986;
540;0.374485;
541;0.373767;
542;0.373637;
543;0.374708;
544;0.375558;
545;0.376245;
546;0.376816;
547;0.377109;
548;0.377125;
549;0.377544;
550;0.377854;
551;0.377688;
552;0.377428;
553;0.377091;
554;0.376286;
555;0.375235;
556;0.373924;
557;0.371885;
558;0.369969;
559;0.368655;
560;0.368007;
561;0.367797;
562;0.367981;
563;0.36799;
564;0.367861;
565;0.366917;
566;0.3658;
567;0.364509;
568;0.363432;
569;0.362536;
570;0.36173;
571;0.361515;
572;0.362176;
573;0.362959;
574;0.363459;
575;0.363046;
576;0.36275;
577;0.362492;
578;0.362782;
579;0.363435;
580;0.364618;
581;0.366;
582;0.367083;
583;0.366864;
584;0.36513;
585;0.362364;
586;0.357629;
587;0.352469;
588;0.346689;
589;0.342866;
590;0.340325;
591;0.341285;
592;0.343073;
593;0.345444;
594;0.346821;
595;0.348011;
596;0.348913;
597;0.349893;
598;0.350807;
599;0.351513;
600;0.352044;
601;0.352403;
602;0.353157;
603;0.353939;
604;0.354757;
605;0.355122;
606;0.355175;
607;0.354346;
608;0.353112;
609;0.351543;
610;0.350337;
611;0.349021;
612;0.347508;
613;0.345543;
614;0.343553;
615;0.342176;
616;0.341605;
617;0.341653;
618;0.342346;
619;0.342442;
620;0.341307;
621;0.339681;
622;0.337765;
623;0.335653;
624;0.33417;
625;0.333268;
626;0.333446;
627;0.333724;
628;0.334053;
629;0.334507;
630;0.334973;
631;0.33583;
632;0.336847;
633;0.338012;
634;0.338946;
635;0.339737;
636;0.340264;
637;0.340378;
638;0.34036;
639;0.340658;
640;0.341029;
641;0.341369;
642;0.341328;
643;0.340474;
644;0.337839;
645;0.334761;
646;0.331703;
647;0.330748;
648;0.330844;
649;0.332034;
650;0.333443;
651;0.334136;
652;0.332886;
653;0.328907;
654;0.323675;
655;0.319017;
656;0.317649;
657;0.319914;
658;0.324844;
659;0.32926;
660;0.331318;
661;0.331823;
662;0.331504;
663;0.330574;
664;0.329529;
665;0.328344;
666;0.328032;
667;0.32781;
668;0.327562;
669;0.327274;
670;0.326961;
671;0.326613;
672;0.326572;
673;0.326908;
674;0.326771;
675;0.326578;
676;0.326464;
677;0.326453;
678;0.326455;
679;0.325745;
680;0.324645;
681;0.322997;
682;0.319268;
683;0.314013;
684;0.304912;
685;0.293234;
686;0.280201;
687;0.275935;
688;0.275567;
689;0.280538;
690;0.284871;
691;0.288275;
692;0.288821;
693;0.289911;
694;0.291345;
695;0.295079;
696;0.297369;
697;0.297517;
698;0.295227;
699;0.292746;
700;0.291913;
701;0.292957;
702;0.295314;
703;0.29808;
704;0.300291;
705;0.301722;
706;0.302957;
707;0.304043;
708;0.304712;
709;0.304933;
710;0.304832;
711;0.303097;
712;0.299745;
713;0.293709;
714;0.280578;
715;0.264514;
716;0.244229;
717;0.230807;
718;0.222754;
719;0.23182;
720;0.240668;
721;0.247917;
722;0.244959;
723;0.239243;
724;0.235831;
725;0.234937;
726;0.236133;
727;0.237548;
728;0.240027;
729;0.244548;
730;0.252638;
731;0.261997;
732;0.271339;
733;0.277289;
734;0.280242;
735;0.281012;
736;0.281916;
737;0.283362;
738;0.284817;
739;0.286418;
740;0.288744;
741;0.291008;
742;0.293187;
743;0.294376;
744;0.295234;
745;0.295513;
746;0.295059;
747;0.29422;
748;0.292824;
749;0.291883;
750;0.291382;
751;0.291463;
752;0.291512;
753;0.291338;
754;0.289627;
755;0.285944;
756;0.269041;
757;0.234999;
758;0.182936;
759;0.145384;
760;0.12225;
761;0.130538;
762;0.145512;
763;0.164552;
764;0.193292;
765;0.220575;
766;0.246275;
767;0.260712;
768;0.271274;
769;0.275764;
770;0.278094;
771;0.279271;
772;0.279377;
773;0.279447;
774;0.279509;
775;0.279315;
776;0.279004;
777;0.278486;
778;0.278076;
779;0.277718;
780;0.277304;
781;0.276619;
782;0.275598;
783;0.274451;
784;0.272952;
785;0.270543;
786;0.267491;
787;0.264085;
788;0.261386;
789;0.259347;
790;0.258205;
791;0.257786;
792;0.257587;
793;0.257647;
794;0.257354;
795;0.256862;
796;0.257547;
797;0.257356;
798;0.255937;
799;0.254166;
800;0.252533;
801;0.251768;
802;0.251682;
803;0.252042;
804;0.253303;
805;0.253589;
806;0.252402;
807;0.249338;
808;0.245499;
809;0.240581;
810;0.233049;
811;0.223706;
812;0.210895;
813;0.199197;
814;0.1894;
815;0.185663;
816;0.1848;
817;0.189785;
818;0.195364;
819;0.201437;
820;0.197902;
821;0.195302;
822;0.194617;
823;0.201307;
824;0.209007;
825;0.210397;
826;0.209152;
827;0.205871;
828;0.206217;
829;0.207208;
830;0.209066;
831;0.211261;
832;0.213885;
833;0.218298;
834;0.222496;
835;0.226521;
836;0.229105;
837;0.231497;
838;0.233599;
839;0.234696;
840;0.235436;
841;0.236157;
842;0.236597;
843;0.236792;
844;0.237279;
845;0.237241;
846;0.236068;
847;0.233643;
848;0.230815;
849;0.228583;
850;0.226268;
851;0.223875;
852;0.221252;
853;0.21972;
854;0.220558;
855;0.22478;
856;0.229994;
857;0.23155;
858;0.232538;
859;0.23297;
860;0.232137;
861;0.230862;
862;0.228873;
863;0.225943;
864;0.222649;
865;0.219908;
866;0.21926;
867;0.2208;
868;0.22341;
869;0.225592;
870;0.226331;
871;0.226132;
872;0.225543;
873;0.225046;
874;0.224656;
875;0.224339;
876;0.223904;
877;0.223357;
878;0.222535;
879;0.221663;
880;0.220746;
881;0.220304;
882;0.21994;
883;0.219665;
884;0.219172;
885;0.218545;
886;0.217577;
887;0.216414;
888;0.215084;
889;0.21274;
890;0.209136;
891;0.204043;
892;0.196666;
893;0.18845;
894;0.17919;
895;0.169874;
896;0.160609;
897;0.154648;
898;0.150383;
899;0.148397;
900;0.149281;
901;0.151203;
902;0.154693;
903;0.157509;
904;0.159896;
905;0.158712;
906;0.155848;
907;0.150576;
908;0.145547;
909;0.141194;
910;0.139332;
911;0.138322;
912;0.13787;
913;0.137817;
914;0.138096;
915;0.138863;
916;0.141043;
917;0.143693;
918;0.146689;
919;0.149672;
920;0.152669;
921;0.154095;
922;0.153708;
923;0.150431;
924;0.145312;
925;0.139089;
926;0.130567;
927;0.120853;
928;0.110163;
929;0.097381;
930;0.084394;
931;0.071348;
932;0.061784;
933;0.053905;
934;0.049905;
935;0.047827;
936;0.047242;
937;0.049626;
938;0.052368;
939;0.055552;
940;0.058253;
941;0.06057;
942;0.061512;
943;0.061565;
944;0.060853;
945;0.058827;
946;0.057761;
947;0.058691;
948;0.059082;
949;0.059516;
950;0.061344;
951;0.063166;
952;0.065;
953;0.066431;
954;0.06786;
955;0.069303;
956;0.070865;
957;0.072615;
958;0.075164;
959;0.078102;
960;0.081409;
961;0.084806;
962;0.088771;
963;0.093875;
964;0.098594;
965;0.103346;
966;0.109191;
967;0.113746;
968;0.117002;
969;0.12184;
970;0.126364;
971;0.129601;
972;0.131742;
973;0.133414;
974;0.135028;
975;0.136051;
976;0.136462;
977;0.136849;
978;0.137547;
979;0.139128;
980;0.141723;
981;0.144809;
982;0.147716;
983;0.150618;
984;0.153523;
985;0.156941;
986;0.159963;
987;0.161607;
988;0.163429;
989;0.165324;
990;0.166454;
991;0.167367;
992;0.168004;
993;0.168604;
994;0.169303;
995;0.170424;
996;0.170271;
997;0.169521;
998;0.169487;
999;0.169303;
1000;0.168908;
1001;0.166983;
1002;0.165328;
1003;0.165492;
1004;0.167267;
1005;0.169788;
1006;0.166418;
1007;0.164273;
1008;0.163794;
1009;0.16552;
1010;0.166939;
1011;0.165596;
1012;0.164594;
1013;0.16381;
1014;0.163776;
1015;0.163217;
1016;0.161899;
1017;0.162491;
1018;0.163151;
1019;0.162435;
1020;0.162282;
1021;0.162513;
1022;0.162651;
1023;0.162272;
1024;0.161141;
1025;0.160468;
1026;0.1603;
1027;0.161795;
1028;0.161256;
1029;0.159252;
1030;0.16164;
1031;0.161486;
1032;0.157183;
1033;0.157657;
1034;0.159035;
1035;0.158382;
1036;0.157544;
1037;0.156539;
1038;0.156639;
1039;0.157229;
1040;0.158685;
1041;0.157577;
1042;0.156212;
1043;0.157527;
1044;0.157954;
1045;0.157674;
1046;0.155537;
1047;0.153971;
1048;0.153609;
1049;0.155057;
1050;0.155487;
1051;0.146834;
1052;0.148629;
1053;0.159431;
1054;0.15671;
1055;0.152209;
1056;0.145818;
1057;0.14234;
1058;0.140874;
1059;0.145672;
1060;0.146993;
1061;0.145112;
1062;0.143219;
1063;0.143149;
1064;0.146873;
1065;0.14547;
1066;0.141865;
1067;0.137408;
1068;0.13739;
1069;0.141665;
1070;0.14473;
1071;0.146519;
1072;0.145364;
1073;0.140795;
1074;0.136726;
1075;0.148688;
