Range_wl_min;Range_wl_max;Range_center;SS_cal (WL_true = Wl_obs+SS_cal);FWHM_cal;Cost Function (@SS_cal and FWHM_cal);Minimization Status;Method;Measurement Type;Measurement Units;Nominal FWHM;Spectral Shift Limit (+/- limit);Fwhm Limit (*/ limit);NÂ° of channels;Range Widening;Smoothing filter HW;Measured file;MODTRAN file;Target reflectance file;Messages;
nm;nm;nm;nm;nm;-;;;;;nm;nm;-;;;;;;;;
379;399;389.00000;1.6895978;1.2540997;0.010036760;1.00000;Ratio;Reflected Radiance;Physical Units;1.0000000;2.00000;2.00000;84;10;5;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\OO_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 66 and was set to 100.;
407;413;410.00000;1.6460325;1.0412324;0.0011546500;1.00000;Ratio;Reflected Radiance;Physical Units;1.0000000;2.00000;2.00000;26;10;5;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\OO_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 66 and was set to 100.;
427;441;434.00000;1.5579570;1.0599274;0.0079981644;1.00000;Ratio;Reflected Radiance;Physical Units;1.0000000;2.00000;2.00000;59;10;5;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\OO_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 66 and was set to 100.;
483;498;490.50000;1.3955172;1.0597667;0.0022317545;1.00000;Ratio;Reflected Radiance;Physical Units;1.0000000;2.00000;2.00000;64;10;5;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\OO_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 66 and was set to 100.;
513;521;517.00000;1.3351838;0.97052916;0.00076409861;1.00000;Ratio;Reflected Radiance;Physical Units;1.0000000;2.00000;2.00000;35;10;5;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\OO_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 66 and was set to 100.;
586;592;589.00000;1.1768297;1.0767227;0.00014521471;1.00000;Ratio;Reflected Radiance;Physical Units;1.0000000;2.00000;2.00000;26;10;5;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\OO_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 66 and was set to 100.;
653;659;656.00000;1.1597417;0.85851613;0.00027014597;1.00000;Ratio;Reflected Radiance;Physical Units;1.0000000;2.00000;2.00000;26;10;5;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\OO_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 66 and was set to 100.;
683;691;687.00000;1.1466248;0.96981384;0.00027057152;1.00000;Ratio;Reflected Radiance;Physical Units;1.0000000;2.00000;2.00000;34;10;5;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\OO_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 66 and was set to 100.;
713;737;725.00000;1.2187625;1.0201278;0.0019613363;1.00000;Ratio;Reflected Radiance;Physical Units;1.0000000;2.00000;2.00000;101;10;5;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\OO_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 66 and was set to 100.;
756;773;764.50000;1.1649430;1.0499862;0.0088189532;1.00000;Ratio;Reflected Radiance;Physical Units;1.0000000;2.00000;2.00000;72;10;5;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\OO_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 66 and was set to 100.;
806;843;824.50000;1.3463635;1.0488121;0.0014465910;1.00000;Ratio;Reflected Radiance;Physical Units;1.0000000;2.00000;2.00000;155;10;5;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\OO_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 66 and was set to 100.;
846;869;857.50000;1.4253725;1.0946147;0.0024853195;1.00000;Ratio;Reflected Radiance;Physical Units;1.0000000;2.00000;2.00000;97;10;5;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\OO_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 66 and was set to 100.;
922;982;952.00000;1.6289219;1.0170182;0.073413855;1.00000;Ratio;Reflected Radiance;Physical Units;1.0000000;2.00000;2.00000;251;10;5;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\OO_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 66 and was set to 100.;
350;1000;675.00000;1.4879431;1.5982285;115.49493;1.00000;Ratio;Reflected Radiance;Physical Units;1.0000000;2.00000;2.00000;2710;10;5;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\EXAMPLE_INPUT_DATA\OO_Radiance.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\MODTRAN_FILES\SpecCal_modtran4sim350-1000.csv;D:\documenti_lorenzo\IDL_WORKSPACES\WORKSPACE_SPECCAL\SpecCal\TARGET_REFLECTANCES\Optopolymer_50-50.csv;Explore Shift Function:The number of function evaluations was 66 and was set to 100.;
